t,robot,cmd_vel_x,cmd_vel_rot,command,status,identify_as,num_detections,sunburstError,real_waldo_pos_0,real_waldo_pos_1,sunburstRobotCalc/waldoPosition_0,sunburstRobotCalc/waldoPosition_1,x,y,theta
0,robotA,,,,,,,,,,,,,,
0,robotB,,,,,,,,,,,,,,
0,robotC,,,,,,,,,,,,,,
0,robotD,,,,,,,,,,,,,,
0,robotE,,,,,,,,,,,,,,
1,robotA,,,,,,,,,,,,,,
1,robotB,,,,,,,,,,,,,,
1,robotC,,,,,,,,,,,,,,
1,robotD,,,,,,,,,,,,,,
1,robotE,,,,,,,,,,,,,,
2,robotA,,,,,,,,,,,,,,
2,robotB,,,,,,,,,,,,,,
2,robotC,,,,,,,,,,,,,,
2,robotD,,,,,,,,,,,,,,
2,robotE,,,,,,,,,,,,,,
3,robotA,,,,,,,,,,,,,,
3,robotB,,,,,,,,,,,,,,
3,robotC,,,,,,,,,,,,,,
3,robotD,,,,,,,,,,,,,,
3,robotE,,,,,,,,,,,,,,
4,robotA,,,,ready,,,,,,,,0.7216053176898469,0.11004086515791882,-2.7238299855964057
4,robotB,,,,,,,,,,,,,,
4,robotC,,,,,,,,,,,,,,
4,robotD,,,,,,,,,,,,,,
4,robotE,,,,,,,,,,,,,,
5,robotA,,,,,,,,,,,,0.7212367046007733,0.10986601587089545,-2.7238105485263215
5,robotB,,,,ready,,,,,,,,-0.6515646442660107,0.5896037011577877,-2.529985028434289
5,robotC,,,,,,,,,,,,,,
5,robotD,,,,,,,,,,,,,,
5,robotE,,,,,,,,,,,,,,
6,robotA,,,,,,,,,,,,0.7215172832166853,0.1099980152592101,-2.72382411222779
6,robotB,,,,,,,,,,,,-0.6512053352499806,0.5898624451622498,-2.5299995074183244
6,robotC,,,,ready,,,,,,,,-0.40797683939259427,-0.08447380979250523,-1.9520909116606373
6,robotD,,,,ready,,,,,,,,-0.07505694277447444,-0.5886279329878797,-2.2450736945348715
6,robotE,,,,,,,,,,,,,,
7,robotA,0.05,0.0,go,running,,,,,,,,0.6863083430216462,0.09436860798217726,-2.7239655946504158
7,robotB,0.0,0.5,go,running,,,,,,,,-0.6504298940629507,0.5904231451154168,-2.160270998181508
7,robotC,0.0,0.5,go,running,,,,,,,,-0.4072982373389508,-0.08275105073190533,-1.5897807658192251
7,robotD,0.0,0.5,go,running,,,,,,,,-0.07455413217269324,-0.5879679867774098,-1.8839586316778723
7,robotE,0.0,0.5,go,running,,,,,,,,-0.6398618366612212,-0.2556828504148949,3.113620715610281
8,robotA,0.05,0.0,,,,,,,,,,0.6396967076930752,0.07370019065466818,-2.7243495480618245
8,robotB,0.0,0.5,,,,,,,,,,-0.6492143471393762,0.5923143522657388,-1.7128235370295624
8,robotC,0.05,0.0,,,,,,,,,,-0.4024736445134303,-0.09887014533914905,-1.2442709966894783
8,robotD,0.0,0.5,,,,,,,,,,-0.07545754615777697,-0.5873160025974554,-1.4035539123648753
8,robotE,0.0,0.5,,,,,,,,,,-0.6360741503077665,-0.2563808878994288,-2.7043392192621636
9,robotA,0.05,0.0,,,,,,,,,,0.5947866986701714,0.05380330665824584,-2.724648155438515
9,robotB,0.05,0.0,,,,,,,,,,-0.645654155955275,0.5578198006186028,-1.4914719128692555
9,robotC,0.05,0.0,,,,,,,,,,-0.38858821459510684,-0.15815583369333408,-1.2869795159429358
9,robotD,0.0,0.5,,,,,,,,,,-0.07489634634854045,-0.5858341537618869,-0.8940687047863602
9,robotE,0.0,0.5,,,,,,,,,,-0.6310440381807539,-0.2582128477138808,-2.213488831482408
10,robotA,0.05,0.0,,,,,,,,,,0.5494694340908135,0.03373910616832604,-2.724984869197481
10,robotB,0.05,0.0,,,,,,,,,,-0.639913818215044,0.5089420990303501,-1.486438202196046
10,robotC,0.05,0.0,,,,,,,,,,-0.3744018450087815,-0.20676689430873874,-1.287271728422028
