t,robot,cmd_vel_x,cmd_vel_rot,command,status,identify_as,num_detections,sunburstError,real_waldo_pos_0,real_waldo_pos_1,sunburstRobotCalc/waldoPosition_0,sunburstRobotCalc/waldoPosition_1,x,y,theta
0,robotA,,,,,,,,,,,,,,
0,robotB,,,,,,,,,,,,,,
0,robotC,,,,,,,,,,,,,,
0,robotD,,,,,,,,,,,,,,
1,robotA,,,,,,,,,,,,,,
1,robotB,,,,,,,,,,,,,,
1,robotC,,,,,,,,,,,,,,
1,robotD,,,,,,,,,,,,,,
2,robotA,,,,,,,,,,,,,,
2,robotB,,,,,,,,,,,,,,
2,robotC,,,,,,,,,,,,,,
2,robotD,,,,,,,,,,,,,,
3,robotA,,,,,,,,,,,,,,
3,robotB,,,,,,,,,,,,,,
3,robotC,,,,,,,,,,,,,,
3,robotD,,,,,,,,,,,,,,
4,robotA,,,,,,,,,,,,,,
4,robotB,,,,,,,,,,,,,,
4,robotC,,,,,,,,,,,,,,
4,robotD,,,,,,,,,,,,,,
5,robotA,,,,ready,,,,,,,,-0.6565980585640452,0.5832789102783685,2.877019652966162
5,robotB,,,,ready,,,,,,,,-0.06560388281058231,0.7724644622172602,-1.3441938627758359
5,robotC,,,,,,,,,,,,,,
5,robotD,,,,,,,,,,,,,,
6,robotA,0.0,0.5,go,running,,,,,,,,-0.6562759359696584,0.5831945152898779,2.8770034395962707
6,robotB,0.05,0.0,go,running,,,,,,,,-0.0656859104434555,0.7728031142199878,-1.3442066486255477
6,robotC,0.05,0.0,go,running,,,,,,,,-0.36650743590978874,0.04391167220074901,-2.0399202738959534
6,robotD,0.05,0.0,go,running,,,,,,,,0.3284069665589014,0.1492555911428396,0.9750373171254334
7,robotA,0.0,0.5,,,,,,,,,,-0.6549817657585616,0.5829006188917434,-2.9608247398472503
7,robotB,0.05,0.0,,,,,,,,,,-0.05506114760082042,0.726696178758695,-1.3445421310700088
7,robotC,0.05,0.0,,,,,,,,,,-0.3884289477043003,0.0006820814336050145,-2.0403086751033466
7,robotD,0.05,0.0,,,,,,,,,,0.3548297956513095,0.18822529932491464,0.97463809097186
8,robotA,0.0,0.5,,,,,,,,,,-0.6498083238357809,0.5822632876526085,-2.4728976716362117
8,robotB,0.05,0.0,,,,,,,,,,-0.043730547828514515,0.6774261049472532,-1.3448874943047961
8,robotC,0.05,0.0,,,,,,,,,,-0.4106980224528017,-0.043197937807206724,-2.0404896470548706
8,robotD,0.05,0.0,,,,,,,,,,0.38329597124546005,0.23015589722430418,0.9744047664118488
9,robotA,0.0,0.5,,,,,,,,,,-0.6307326141672478,0.5810768943659871,-1.9828486735984634
9,robotB,0.05,0.0,,,,,,,,,,-0.03261595764338139,0.6290400524722571,-1.3451998987039098
9,robotC,0.05,0.0,,,,,,,,,,-0.43386016102947167,-0.08881815537064705,-2.0409152177354097
9,robotD,0.05,0.0,,,,,,,,,,0.4111818011652226,0.2712226639317364,0.974017228349151
10,robotA,0.05,0.0,,,,,,,,,,-0.6210702842531084,0.5640656908263235,-1.5305502876464143
10,robotB,0.05,0.0,,,,,,,,,,-0.021657850005958615,0.581244765736583,-1.3455855608651166
10,robotC,0.05,0.0,,,,,,,,,,-0.45605843207575697,-0.1324864462070008,-2.041107714141968
10,robotD,0.05,0.0,,,,,,,,,,0.4396240494155293,0.31306623132917555,0.9736846952299453
11,robotA,0.05,0.0,,,,,,,,,,-0.6083878456734269,0.5156100458504341,-1.5403207303822117
11,robotB,0.05,0.0,,,,,,,,,,-0.010255798116767963,0.5314466970151203,-1.345873473241854
11,robotC,0.05,0.0,,,,,,,,,,-0.4785496408496067,-0.1767179963731141,-2.041489548972529
11,robotD,0.05,0.0,,,,,,,,,,0.46754014207308464,0.3541192599536474,0.9734048566390252
12,robotA,0.05,0.0,,,,,,,,,,-0.6067585168085275,0.46402066902648736,-1.5406108065735173
