t,robot,cmd_vel_x,cmd_vel_rot,command,status,identify_as,num_detections,sunburstError,real_waldo_pos_0,real_waldo_pos_1,sunburstRobotCalc/waldoPosition_0,sunburstRobotCalc/waldoPosition_1,x,y,theta
0,robotA,,,,,,,,,,,,,,
0,robotB,,,,,,,,,,,,,,
0,robotC,,,,,,,,,,,,,,
0,robotD,,,,,,,,,,,,,,
0,robotE,,,,,,,,,,,,,,
0,robotF,,,,,,,,,,,,,,
1,robotA,,,,,,,,,,,,,,
1,robotB,,,,,,,,,,,,,,
1,robotC,,,,,,,,,,,,,,
1,robotD,,,,,,,,,,,,,,
1,robotE,,,,,,,,,,,,,,
1,robotF,,,,,,,,,,,,,,
2,robotA,,,,,,,,,,,,,,
2,robotB,,,,,,,,,,,,,,
2,robotC,,,,,,,,,,,,,,
2,robotD,,,,,,,,,,,,,,
2,robotE,,,,,,,,,,,,,,
2,robotF,,,,,,,,,,,,,,
3,robotA,,,,,,,,,,,,,,
3,robotB,,,,,,,,,,,,,,
3,robotC,,,,,,,,,,,,,,
3,robotD,,,,,,,,,,,,,,
3,robotE,,,,,,,,,,,,,,
3,robotF,,,,,,,,,,,,,,
4,robotA,,,,ready,,,,,,,,0.09518870608341017,-0.011040932273086267,2.7178506686427033
4,robotB,,,,,,,,,,,,,,
4,robotC,,,,,,,,,,,,,,
4,robotD,,,,,,,,,,,,,,
4,robotE,,,,,,,,,,,,,,
4,robotF,,,,,,,,,,,,,,
5,robotA,,,,,,,,,,,,0.0947533812627877,-0.010857119685290254,2.7178715229049852
5,robotB,,,,ready,,,,,,,,-0.29663436009267735,0.0605645632675993,-3.007687120467167
5,robotC,,,,ready,,,,,,,,-0.3888998265877209,-0.4340843420904115,2.5912154657972253
5,robotD,,,,,,,,,,,,,,
5,robotE,,,,,,,,,,,,,,
5,robotF,,,,,,,,,,,,,,
6,robotA,,,,,,,,,,,,0.09514099035393948,-0.011025093392040481,2.7178566040375944
6,robotB,,,,,,,,,,,,-0.2962631829344133,0.06061874436405883,-3.0077059729964866
6,robotC,,,,,,,,,,,,-0.38878196149980865,-0.4341587132742733,2.591210169401365
6,robotD,,,,ready,,,,,,,,-0.6256763555505408,-0.20971012229686883,-1.899538960986358
6,robotE,,,,,,,,,,,,,,
6,robotF,,,,ready,,,,,,,,0.30221380219383515,-0.6326059491250898,1.1319903494508234
7,robotA,0.0,0.5,go,running,,,,,,,,0.09606161765265415,-0.01137298318194313,3.0748347282674375
7,robotB,0.0,0.5,go,running,,,,,,,,-0.2957331908869429,0.06063662402898606,-2.6474820412422533
7,robotC,0.0,0.5,go,running,,,,,,,,-0.388184472380716,-0.4345473841726349,2.924567899426053
7,robotD,0.0,0.5,go,running,,,,,,,,-0.626176881525716,-0.2168592525839155,-1.636468648250842
7,robotE,0.0,0.5,go,running,,,,,,,,0.02896267583309624,0.7825754023202167,1.0607935890056601
7,robotF,0.05,0.0,go,running,,,,,,,,0.3154841046721013,-0.6043473934430637,1.1316717144116748
8,robotA,0.0,0.5,,,,,,,,,,0.09269319178669663,-0.00913657302823706,-2.7543003192787716
8,robotB,0.05,0.0,,,,,,,,,,-0.2973992149237357,0.057469491307232716,-2.192873404140967
8,robotC,0.05,0.0,,,,,,,,,,-0.3903324781852453,-0.43212406715433366,-2.9143454548255416
8,robotD,0.0,0.5,,,,,,,,,,-0.6280123423491395,-0.21596299868471538,-1.1996027770160615
8,robotE,0.0,0.5,,,,,,,,,,0.020686691623948816,0.7743067493131197,1.5206332325836869
8,robotF,0.05,0.0,,,,,,,,,,0.33941542057504764,-0.5533981870311129,1.1314573265091645
9,robotA,0.05,0.0,,,,,,,,,,0.07702979018366699,-0.001054639357796143,-2.325927387589951
9,robotB,0.0,0.5,,,,,,,,,,-0.30641395069572797,0.041919394995904316,-1.8798379510607124
